---TICK-TAG---
*START MEMORY*
UVs: 7, TOs: 0/0, ErrorsOrGF: 1, TTFF: 100
Fixes: 4280, Avg. TTF: 15 s, Avg. HDOP (x10): 14

count,timestamp,lat,lon
1,1647165001,47.74234,9.00157
2,1647165002,47.74232,9.00155
3,1647165003,47.74231,9.00153
4,1647165004,47.74229,9.00151
5,1647165005,47.74228,9.00150
6,1647165006,47.74226,9.00149
7,1647165007,47.74224,9.00148
8,1647165008,47.74222,9.00147
9,1647165009,47.74220,9.00145
10,1647165010,47.74218,9.00144
11,1647165011,47.74217,9.00143
12,1647165012,47.74215,9.00142
13,1647165013,47.74214,9.00140
14,1647165014,47.74213,9.00138
15,1647165015,47.74211,9.00137
16,1647165016,47.74210,9.00136
17,1647165017,47.74209,9.00134
18,1647165018,47.74207,9.00133
19,1647165019,47.74206,9.00132
20,1647165020,47.74204,9.00131
21,1647165164,47.74139,9.00196
22,1647165165,47.74171,9.00174
23,1647165166,47.74189,9.00163
24,1647165167,47.74192,9.00160
25,1647165168,47.74198,9.00156
26,1647165169,47.74203,9.00153
27,1647165170,47.74207,9.00150
28,1647165171,47.74208,9.00149
29,1647165172,47.74204,9.00152
30,1647165173,47.74199,9.00154
31,1647165174,47.74200,9.00152
32,1647165175,47.74202,9.00150
33,1647165176,47.74204,9.00148
34,1647165177,47.74211,9.00142
35,1647165178,47.74215,9.00138
36,1647165179,47.74220,9.00134
37,1647165180,47.74225,9.00131
38,1647165181,47.74229,9.00127
39,1647165182,47.74230,9.00124
40,1647165183,47.74234,9.00121
41,1647165328,47.74170,9.00039
42,1647165329,47.74177,9.00043
43,1647165330,47.74182,9.00045
44,1647165331,47.74186,9.00047
45,1647165332,47.74189,9.00048
46,1647165333,47.74192,9.00050
47,1647165334,47.74195,9.00051
48,1647165335,47.74196,9.00052
49,1647165336,47.74196,9.00054
50,1647165337,47.74197,9.00055
51,1647165338,47.74198,9.00056
52,1647165339,47.74198,9.00057
53,1647165340,47.74199,9.00057
54,1647165341,47.74199,9.00057
55,1647165342,47.74199,9.00058
56,1647165343,47.74199,9.00058
57,1647165344,47.74199,9.00058
58,1647165345,47.74199,9.00059
59,1647165346,47.74199,9.00059
60,1647165347,47.74200,9.00060
61,1647165482,47.74221,9.00056
62,1647165484,47.74229,9.00058
63,1647165485,47.74231,9.00059
64,1647165486,47.74231,9.00059
65,1647165487,47.74229,9.00058
66,1647165488,47.74230,9.00058
67,1647165489,47.74231,9.00058
68,1647165490,47.74231,9.00057
69,1647165491,47.74231,9.00058
70,1647165492,47.74232,9.00058
71,1647165493,47.74231,9.00058
72,1647165494,47.74232,9.00058
73,1647165495,47.74232,9.00058
74,1647165496,47.74232,9.00059
75,1647165497,47.74232,9.00059
76,1647165498,47.74231,9.00060
77,1647165499,47.74231,9.00060
78,1647165500,47.74232,9.00061
79,1647165501,47.74234,9.00062
80,1647165502,47.74235,9.00063
81,1647165635,47.74315,9.00039
82,1647165636,47.74315,9.00038
83,1647165637,47.74316,9.00038
84,1647165640,47.74285,9.00076
85,1647165641,47.74287,9.00076
86,1647165642,47.74289,9.00075
87,1647165643,47.74290,9.00074
88,1647165644,47.74290,9.00074
89,1647165645,47.74291,9.00074
90,1647165646,47.74297,9.00075
91,1647165647,47.74300,9.00076
92,1647165648,47.74300,9.00076
93,1647165649,47.74300,9.00076
94,1647165650,47.74300,9.00076
95,1647165651,47.74300,9.00076
96,1647165652,47.74300,9.00076
97,1647165653,47.74300,9.00076
98,1647165654,47.74301,9.00076
