---TICK-TAG---
*START MEMORY*
UVs: 127, TOs: 0/0, ErrorsOrGF: 1, TTFF: 97
Fixes: 4656, Avg. TTF: 15 s, Avg. HDOP (x10): 13

count,timestamp,lat,lon
182,1646985870,47.74299,8.99894
183,1646985871,47.74299,8.99895
184,1646985872,47.74301,8.99895
185,1646985873,47.74302,8.99896
186,1646985874,47.74303,8.99897
187,1646985875,47.74304,8.99897
188,1646985876,47.74305,8.99897
189,1646985877,47.74305,8.99898
190,1646985878,47.74306,8.99898
191,1646985879,47.74306,8.99898
192,1646985881,47.74306,8.99897
193,1646985882,47.74306,8.99896
194,1646985883,47.74306,8.99896
195,1646985884,47.74306,8.99895
196,1646985885,47.74306,8.99895
197,1646985886,47.74306,8.99895
198,1646985887,47.74306,8.99896
199,1646985888,47.74306,8.99896
200,1646985889,47.74307,8.99896
201,1646986016,47.74310,8.99890
202,1646986017,47.74309,8.99892
203,1646986018,47.74308,8.99893
204,1646986019,47.74309,8.99894
205,1646986020,47.74310,8.99894
206,1646986021,47.74312,8.99894
207,1646986022,47.74314,8.99894
208,1646986023,47.74313,8.99894
209,1646986025,47.74314,8.99894
210,1646986026,47.74316,8.99894
211,1646986027,47.74316,8.99894
212,1646986028,47.74317,8.99894
213,1646986029,47.74318,8.99894
214,1646986030,47.74319,8.99894
215,1646986031,47.74320,8.99894
216,1646986032,47.74321,8.99894
217,1646986033,47.74321,8.99894
218,1646986034,47.74322,8.99894
219,1646986035,47.74322,8.99894
220,1646986036,47.74322,8.99894
221,1646986177,47.74284,8.99897
222,1646986178,47.74284,8.99897
223,1646986179,47.74285,8.99897
224,1646986180,47.74285,8.99897
225,1646986181,47.74284,8.99896
226,1646986182,47.74283,8.99896
227,1646986183,47.74282,8.99896
228,1646986184,47.74282,8.99895
229,1646986185,47.74281,8.99895
230,1646986186,47.74280,8.99895
231,1646986187,47.74280,8.99894
232,1646986188,47.74279,8.99894
233,1646986189,47.74278,8.99894
234,1646986190,47.74277,8.99894
235,1646986191,47.74277,8.99894
236,1646986192,47.74277,8.99893
237,1646986193,47.74277,8.99893
238,1646986194,47.74278,8.99893
239,1646986195,47.74277,8.99893
240,1646986196,47.74277,8.99893
241,1646986326,47.74282,8.99899
242,1646986327,47.74281,8.99899
243,1646986328,47.74292,8.99902
244,1646986329,47.74308,8.99901
245,1646986331,47.74309,8.99902
246,1646986332,47.74310,8.99903
247,1646986333,47.74311,8.99905
248,1646986334,47.74310,8.99905
249,1646986335,47.74310,8.99906
250,1646986336,47.74310,8.99907
251,1646986337,47.74310,8.99908
252,1646986338,47.74310,8.99909
253,1646986339,47.74311,8.99909
254,1646986340,47.74310,8.99909
255,1646986341,47.74309,8.99909
256,1646986342,47.74311,8.99910
257,1646986343,47.74312,8.99910
258,1646986344,47.74312,8.99911
259,1646986345,47.74313,8.99912
260,1646986346,47.74314,8.99912
261,1646986477,47.74291,8.99887
262,1646986478,47.74295,8.99891
263,1646986479,47.74299,8.99894
264,1646986480,47.74300,8.99896
265,1646986482,47.74304,8.99899
266,1646986483,47.74306,8.99900
267,1646986484,47.74307,8.99901
268,1646986485,47.74309,8.99902
269,1646986486,47.74311,8.99903
270,1646986487,47.74312,8.99905
271,1646986488,47.74313,8.99906
272,1646986489,47.74315,8.99907
273,1646986490,47.74317,8.99909
274,1646986491,47.74319,8.99910
275,1646986492,47.74321,8.99911
276,1646986493,47.74324,8.99913
277,1646986494,47.74327,8.99916
278,1646986495,47.74330,8.99918
279,1646986496,47.74333,8.99921
280,1646986497,47.74335,8.99924
281,1646986634,47.74297,8.99895
282,1646986635,47.74296,8.99895
283,1646986636,47.74298,8.99896
284,1646986638,47.74300,8.99897
285,1646986639,47.74301,8.99896
286,1646986640,47.74302,8.99896
287,1646986641,47.74302,8.99897
288,1646986642,47.74303,8.99897
289,1646986643,47.74303,8.99897
290,1646986644,47.74302,8.99897
291,1646986645,47.74302,8.99897
292,1646986646,47.74302,8.99897
293,1646986647,47.74302,8.99897
294,1646986648,47.74302,8.99897
295,1646986649,47.74302,8.99897
296,1646986650,47.74302,8.99898
297,1646986651,47.74301,8.99898
298,1646986652,47.74302,8.99898
299,1646986653,47.74301,8.99898
300,1646986654,47.74301,8.99898
301,1646986802,47.74308,8.99913
302,1646986803,47.74306,8.99911
303,1646986804,47.74305,8.99911
304,1646986805,47.74302,8.99909
305,1646986806,47.74301,8.99908
306,1646986807,47.74301,8.99909
307,1646986808,47.74302,8.99910
308,1646986809,47.74303,8.99911
309,1646986810,47.74305,8.99912
310,1646986811,47.74305,8.99911
311,1646986812,47.74306,8.99912
312,1646986813,47.74306,8.99912
313,1646986814,47.74306,8.99912
314,1646986815,47.74306,8.99912
315,1646986816,47.74306,8.99912
316,1646986817,47.74306,8.99912
317,1646986818,47.74306,8.99913
318,1646986819,47.74306,8.99912
319,1646986820,47.74306,8.99912
320,1646986821,47.74307,8.99912
321,1646986952,47.74293,8.99905
322,1646986953,47.74298,8.99906
323,1646986955,47.74301,8.99907
324,1646986956,47.74302,8.99908
325,1646986957,47.74304,8.99908
326,1646986958,47.74305,8.99908
327,1646986959,47.74306,8.99907
328,1646986959,47.74307,8.99908
329,1646986961,47.74307,8.99908
330,1646986962,47.74307,8.99908
331,1646986963,47.74308,8.99907
332,1646986964,47.74307,8.99906
333,1646986965,47.74307,8.99906
334,1646986966,47.74307,8.99905
335,1646986967,47.74306,8.99905
336,1646986968,47.74307,8.99904
337,1646986969,47.74305,8.99903
338,1646986970,47.74306,8.99903
339,1646986971,47.74306,8.99902
340,1646986972,47.74305,8.99901
341,1646987102,47.74309,8.99893
342,1646987103,47.74312,8.99893
343,1646987104,47.74317,8.99893
344,1646987105,47.74319,8.99893
345,1646987106,47.74321,8.99893
346,1646987107,47.74322,8.99893
347,1646987108,47.74321,8.99893
348,1646987109,47.74295,8.99892
349,1646987111,47.74294,8.99892
350,1646987112,47.74294,8.99892
351,1646987113,47.74294,8.99892
352,1646987114,47.74294,8.99892
353,1646987115,47.74295,8.99892
354,1646987116,47.74296,8.99892
355,1646987117,47.74296,8.99892
356,1646987118,47.74296,8.99892
357,1646987119,47.74297,8.99892
358,1646987120,47.74297,8.99892
359,1646987121,47.74297,8.99892
360,1646987122,47.74298,8.99892
361,1646987251,47.74288,8.99904
362,1646987252,47.74299,8.99904
363,1646987253,47.74298,8.99903
364,1646987254,47.74295,8.99902
365,1646987255,47.74295,8.99901
366,1646987256,47.74294,8.99901
367,1646987257,47.74294,8.99900
368,1646987258,47.74295,8.99900
369,1646987259,47.74296,8.99899
370,1646987261,47.74297,8.99899
371,1646987262,47.74297,8.99899
372,1646987263,47.74297,8.99899
373,1646987264,47.74296,8.99898
374,1646987265,47.74296,8.99898
375,1646987266,47.74296,8.99898
376,1646987267,47.74295,8.99898
377,1646987268,47.74295,8.99898
378,1646987269,47.74295,8.99897
379,1646987270,47.74295,8.99897
380,1646987271,47.74295,8.99897
381,1646987399,47.74300,8.99890
382,1646987400,47.74298,8.99890
383,1646987401,47.74296,8.99890
384,1646987402,47.74296,8.99891
385,1646987403,47.74297,8.99893
386,1646987404,47.74295,8.99893
387,1646987405,47.74294,8.99893
388,1646987406,47.74293,8.99893
389,1646987407,47.74293,8.99893
390,1646987408,47.74293,8.99892
391,1646987409,47.74294,8.99893
392,1646987410,47.74299,8.99894
393,1646987412,47.74300,8.99894
394,1646987413,47.74301,8.99894
395,1646987414,47.74301,8.99894
396,1646987415,47.74301,8.99894
397,1646987416,47.74301,8.99894
398,1646987417,47.74301,8.99894
399,1646987418,47.74301,8.99894
400,1646987419,47.74301,8.99895
401,1646987546,47.74292,8.99894
402,1646987547,47.74293,8.99894
403,1646987548,47.74292,8.99895
404,1646987549,47.74293,8.99895
405,1646987550,47.74292,8.99895
406,1646987551,47.74293,8.99895
407,1646987552,47.74294,8.99896
408,1646987553,47.74295,8.99896
409,1646987554,47.74295,8.99897
410,1646987556,47.74295,8.99897
411,1646987557,47.74296,8.99898
412,1646987558,47.74296,8.99898
413,1646987559,47.74297,8.99898
414,1646987560,47.74297,8.99898
415,1646987561,47.74297,8.99899
416,1646987562,47.74298,8.99899
417,1646987563,47.74299,8.99899
