---TICK-TAG---
*START MEMORY*
UVs: 32, TOs: 0/0, ErrorsOrGF: 0, TTFF: 34
Fixes: 10069, Avg. TTF: 0 s, Avg. HDOP (x10): 9

count,timestamp,lat,lon
1,1646805031,47.74305,8.99903
2,1646805033,47.74305,8.99899
3,1646805034,47.74305,8.99899
4,1646805035,47.74305,8.99899
5,1646805036,47.74305,8.99900
6,1646805037,47.74305,8.99901
7,1646805038,47.74305,8.99902
8,1646805039,47.74306,8.99902
9,1646805040,47.74306,8.99903
10,1646805041,47.74305,8.99903
11,1646805042,47.74304,8.99903
12,1646805043,47.74304,8.99903
13,1646805044,47.74304,8.99904
14,1646805045,47.74304,8.99905
15,1646805046,47.74304,8.99905
16,1646805047,47.74303,8.99904
17,1646805048,47.74302,8.99903
18,1646805049,47.74302,8.99903
19,1646805050,47.74302,8.99903
20,1646805051,47.74302,8.99903
21,1646805052,47.74301,8.99902
22,1646805053,47.74301,8.99902
23,1646805054,47.74301,8.99902
24,1646805055,47.74301,8.99902
25,1646805056,47.74301,8.99902
26,1646805057,47.74301,8.99902
27,1646805058,47.74301,8.99903
28,1646805059,47.74301,8.99903
29,1646805060,47.74301,8.99904
30,1646805061,47.74301,8.99901
31,1646805062,47.74301,8.99898
32,1646805063,47.74301,8.99897
33,1646805064,47.74301,8.99897
34,1646805065,47.74301,8.99896
35,1646805066,47.74301,8.99897
36,1646805067,47.74300,8.99896
37,1646805068,47.74300,8.99896
38,1646805069,47.74301,8.99897
39,1646805070,47.74300,8.99897
40,1646805071,47.74300,8.99897
41,1646805072,47.74300,8.99897
42,1646805073,47.74300,8.99897
43,1646805074,47.74300,8.99897
44,1646805075,47.74301,8.99898
45,1646805076,47.74301,8.99898
46,1646805077,47.74301,8.99899
47,1646805078,47.74301,8.99899
48,1646805079,47.74301,8.99898
49,1646805080,47.74301,8.99898
50,1646805081,47.74301,8.99898
51,1646805082,47.74301,8.99898
52,1646805083,47.74301,8.99898
53,1646805084,47.74301,8.99898
54,1646805085,47.74301,8.99898
55,1646805086,47.74301,8.99898
56,1646805087,47.74301,8.99898
57,1646805088,47.74301,8.99898
58,1646805089,47.74301,8.99898
59,1646805090,47.74301,8.99898
60,1646805091,47.74301,8.99898
61,1646805092,47.74301,8.99898
62,1646805093,47.74301,8.99898
63,1646805094,47.74301,8.99898
64,1646805095,47.74301,8.99898
65,1646805096,47.74301,8.99898
66,1646805097,47.74301,8.99898
67,1646805098,47.74301,8.99898
68,1646805099,47.74301,8.99898
69,1646805100,47.74301,8.99898
70,1646805101,47.74301,8.99898
71,1646805102,47.74301,8.99898
72,1646805103,47.74301,8.99898
73,1646805104,47.74301,8.99898
74,1646805105,47.74301,8.99898
75,1646805106,47.74301,8.99898
76,1646805107,47.74301,8.99898
77,1646805108,47.74301,8.99898
78,1646805109,47.74301,8.99898
79,1646805110,47.74301,8.99898
80,1646805111,47.74301,8.99898
81,1646805112,47.74301,8.99898
82,1646805113,47.74301,8.99898
83,1646805114,47.74301,8.99898
84,1646805115,47.74301,8.99898
85,1646805116,47.74301,8.99898
86,1646805117,47.74301,8.99898
87,1646805118,47.74301,8.99898
88,1646805119,47.74301,8.99898
89,1646805120,47.74301,8.99898
90,1646805121,47.74301,8.99898
91,1646805122,47.74301,8.99898
92,1646805123,47.74301,8.99898
93,1646805124,47.74301,8.99898
94,1646805125,47.74301,8.99898
95,1646805126,47.74301,8.99898
96,1646805127,47.74301,8.99898
97,1646805128,47.74301,8.99898
98,1646805129,47.74301,8.99898
99,1646805130,47.74301,8.99898
100,1646805131,47.74301,8.99898
101,1646805132,47.74301,8.99898
102,1646805133,47.74301,8.99898
103,1646805134,47.74301,8.99898
104,1646805135,47.74301,8.99898
105,1646805136,47.74301,8.99898
106,1646805137,47.74301,8.99898
107,1646805138,47.74301,8.99898
108,1646805139,47.74301,8.99898
109,1646805140,47.74301,8.99898
110,1646805141,47.74301,8.99898
111,1646805142,47.74301,8.99898
112,1646805143,47.74301,8.99898
113,1646805144,47.74301,8.99898
114,1646805145,47.74301,8.99898
115,1646805146,47.74301,8.99898
116,1646805147,47.74301,8.99898
117,1646805148,47.74301,8.99898
118,1646805149,47.74301,8.99898
119,1646805150,47.74301,8.99898
120,1646805151,47.74301,8.99898
121,1646805152,47.74301,8.99898
122,1646805153,47.74301,8.99898
123,1646805154,47.74301,8.99898
124,1646805155,47.74301,8.99898
125,1646805156,47.74301,8.99898
126,1646805157,47.74301,8.99898
127,1646805158,47.74301,8.99898
128,1646805159,47.74301,8.99898
129,1646805160,47.74301,8.99898
130,1646805161,47.74301,8.99898
131,1646805162,47.74301,8.99898
132,1646805163,47.74301,8.99898
133,1646805164,47.74301,8.99898
134,1646805165,47.74301,8.99898
135,1646805166,47.74301,8.99898
136,1646805167,47.74301,8.99898
137,1646805168,47.74301,8.99898
138,1646805169,47.74301,8.99898
139,1646805170,47.74301,8.99898
140,1646805171,47.74301,8.99898
141,1646805172,47.74301,8.99898
142,1646805173,47.74301,8.99898
143,1646805174,47.74301,8.99898
144,1646805175,47.74301,8.99897
145,1646805176,47.74301,8.99897
146,1646805177,47.74301,8.99897
147,1646805178,47.74301,8.99897
148,1646805179,47.74301,8.99897
149,1646805180,47.74301,8.99897
150,1646805181,47.74301,8.99897
151,1646805182,47.74301,8.99897
152,1646805183,47.74301,8.99897
153,1646805184,47.74301,8.99897
154,1646805185,47.74301,8.99897
155,1646805186,47.74301,8.99897
156,1646805187,47.74301,8.99897
157,1646805188,47.74301,8.99897
158,1646805189,47.74301,8.99897
159,1646805190,47.74301,8.99897
