---TICK-TAG---
*START MEMORY*
UVs: 47, TOs: 0/0, ErrorsOrGF: 0, TTFF: 110
Fixes: 7075, Avg. TTF: 7 s, Avg. HDOP (x10): 14

count,timestamp,lat,lon
182,1646817024,47.74640,8.99085
183,1646817025,47.74642,8.99086
184,1646817026,47.74644,8.99087
185,1646817027,47.74646,8.99087
186,1646817028,47.74648,8.99087
187,1646817029,47.74649,8.99087
188,1646817030,47.74649,8.99087
189,1646817031,47.74649,8.99086
190,1646817033,47.74649,8.99086
191,1646817052,47.74666,8.99111
192,1646817053,47.74666,8.99114
193,1646817054,47.74665,8.99118
194,1646817055,47.74665,8.99122
195,1646817056,47.74665,8.99125
196,1646817057,47.74664,8.99128
197,1646817058,47.74664,8.99131
198,1646817059,47.74663,8.99133
199,1646817060,47.74663,8.99136
200,1646817061,47.74661,8.99140
201,1646817079,47.74647,8.99174
202,1646817080,47.74646,8.99178
203,1646817081,47.74649,8.99180
204,1646817082,47.74650,8.99182
205,1646817083,47.74651,8.99181
206,1646817084,47.74651,8.99180
207,1646817085,47.74651,8.99178
208,1646817086,47.74652,8.99177
209,1646817087,47.74651,8.99176
210,1646817088,47.74651,8.99177
211,1646817108,47.74651,8.99198
212,1646817109,47.74650,8.99202
213,1646817110,47.74649,8.99204
214,1646817111,47.74647,8.99205
215,1646817112,47.74646,8.99207
216,1646817113,47.74645,8.99209
217,1646817114,47.74645,8.99212
218,1646817115,47.74644,8.99214
219,1646817116,47.74643,8.99216
220,1646817118,47.74643,8.99220
221,1646817136,47.74636,8.99260
222,1646817137,47.74634,8.99266
223,1646817138,47.74633,8.99267
224,1646817139,47.74633,8.99269
225,1646817140,47.74633,8.99270
226,1646817141,47.74633,8.99272
227,1646817142,47.74633,8.99273
228,1646817143,47.74633,8.99275
229,1646817144,47.74634,8.99275
230,1646817145,47.74635,8.99277
231,1646817164,47.74662,8.99301
232,1646817165,47.74663,8.99302
233,1646817166,47.74663,8.99303
234,1646817167,47.74664,8.99305
235,1646817168,47.74665,8.99306
236,1646817169,47.74666,8.99308
237,1646817170,47.74668,8.99309
238,1646817171,47.74669,8.99310
239,1646817172,47.74670,8.99311
240,1646817173,47.74671,8.99313
241,1646817192,47.74674,8.99342
242,1646817193,47.74676,8.99343
243,1646817194,47.74679,8.99343
244,1646817195,47.74681,8.99345
245,1646817196,47.74683,8.99346
246,1646817197,47.74685,8.99347
247,1646817198,47.74686,8.99349
248,1646817199,47.74686,8.99351
249,1646817200,47.74686,8.99352
250,1646817202,47.74685,8.99355
251,1646817220,47.74694,8.99366
252,1646817221,47.74679,8.99390
253,1646817222,47.74678,8.99392
254,1646817223,47.74677,8.99393
255,1646817224,47.74676,8.99394
256,1646817225,47.74675,8.99397
257,1646817226,47.74674,8.99398
258,1646817227,47.74674,8.99400
259,1646817228,47.74673,8.99402
260,1646817229,47.74672,8.99404
261,1646817248,47.74687,8.99435
262,1646817249,47.74687,8.99435
263,1646817250,47.74688,8.99435
264,1646817251,47.74689,8.99436
265,1646817252,47.74691,8.99436
266,1646817253,47.74693,8.99437
267,1646817254,47.74695,8.99439
268,1646817255,47.74697,8.99441
269,1646817256,47.74700,8.99443
270,1646817257,47.74703,8.99445
271,1646817276,47.74708,8.99458
272,1646817277,47.74724,8.99458
273,1646817278,47.74725,8.99459
274,1646817279,47.74726,8.99459
275,1646817280,47.74727,8.99460
276,1646817281,47.74728,8.99461
277,1646817282,47.74729,8.99461
278,1646817283,47.74730,8.99461
279,1646817284,47.74731,8.99462
280,1646817285,47.74732,8.99463
281,1646817304,47.74761,8.99476
282,1646817305,47.74762,8.99474
283,1646817306,47.74762,8.99474
284,1646817307,47.74763,8.99473
285,1646817308,47.74764,8.99472
286,1646817309,47.74766,8.99472
287,1646817310,47.74767,8.99472
288,1646817311,47.74768,8.99472
289,1646817312,47.74769,8.99473
290,1646817313,47.74770,8.99473
291,1646817331,47.74793,8.99462
292,1646817332,47.74798,8.99469
293,1646817333,47.74799,8.99470
294,1646817334,47.74800,8.99470
295,1646817335,47.74801,8.99469
296,1646817336,47.74803,8.99469
297,1646817337,47.74804,8.99469
298,1646817338,47.74805,8.99469
299,1646817339,47.74807,8.99469
300,1646817340,47.74808,8.99470
301,1646817359,47.74831,8.99458
302,1646817360,47.74835,8.99458
303,1646817361,47.74837,8.99458
304,1646817362,47.74839,8.99458
305,1646817363,47.74841,8.99458
306,1646817364,47.74841,8.99458
307,1646817365,47.74842,8.99458
308,1646817366,47.74843,8.99458
309,1646817367,47.74844,8.99458
310,1646817369,47.74846,8.99457
311,1646817387,47.74862,8.99454
312,1646817388,47.74862,8.99452
313,1646817389,47.74864,8.99451
314,1646817390,47.74864,8.99449
315,1646817391,47.74865,8.99448
316,1646817392,47.74866,8.99447
317,1646817393,47.74867,8.99445
318,1646817394,47.74869,8.99444
319,1646817395,47.74869,8.99444
320,1646817396,47.74870,8.99443
321,1646817415,47.74897,8.99432
322,1646817416,47.74891,8.99424
323,1646817417,47.74892,8.99423
324,1646817418,47.74894,8.99421
