6773 $PQFLP,W,1,0*21
$GPRMC,235942.800,V,,,,,0.00,0.00,050180,,,N*42

2798 $GPRMC,235943.800,V,,,,,0.00,0.00,050180,,,N*43
$GPGGA,235943.800,,,,,0,0,,,M,,M,,*4A

3798 $GPRMC,235944.799,V,,,,,0.00,0.00,050180,,,N*4B
$GPGGA,235944.799,,,,,0,0,,,M,,M,,*42

4796 $GPRMC,235945.799,V,,,,,0.00,0.00,050180,,,N*4A
$GPGGA,235945.799,,,,,0,0,,,M,,M,,*43

---TICK-TAG---
***START MEMORY***
UVs: 253, TOs: 0/0, ErrorsOrGF: 1, TTFF: 74
Fixes: 2113, Avg. time to fix: 0 s, Avg. HDOP (x10): 10

count,timestamp,lat,lon
167,1645632582,47.74301,8.99884
168,1645632587,47.74300,8.99883
169,1645632592,47.74300,8.99883
170,1645632597,47.74300,8.99883
171,1645632602,47.74300,8.99882
172,1645632607,47.74300,8.99882
173,1645632612,47.74299,8.99882
174,1645632617,47.74299,8.99882
175,1645632622,47.74300,8.99882
176,1645632627,47.74300,8.99884
177,1645632632,47.74302,8.99887
178,1645632637,47.74302,8.99887
179,1645632642,47.74302,8.99888
180,1645632647,47.74304,8.99889
181,1645632652,47.74304,8.99890
182,1645632657,47.74305,8.99890
183,1645632662,47.74306,8.99891
184,1645632667,47.74306,8.99891
185,1645632672,47.74306,8.99891
186,1645632677,47.74306,8.99891
187,1645632682,47.74307,8.99891
188,1645632687,47.74307,8.99892
189,1645632692,47.74307,8.99893
190,1645632697,47.74307,8.99894
191,1645632702,47.74307,8.99894
192,1645632707,47.74307,8.99894
193,1645632712,47.74307,8.99894
194,1645632717,47.74307,8.99894
195,1645632722,47.74306,8.99894
196,1645632727,47.74306,8.99895
197,1645632732,47.74306,8.99895
198,1645632737,47.74306,8.99896
199,1645632742,47.74305,8.99896
200,1645632747,47.74305,8.99897
201,1645632752,47.74304,8.99897
202,1645632757,47.74304,8.99897
203,1645632762,47.74304,8.99898
204,1645632767,47.74304,8.99899
205,1645632772,47.74304,8.99901
206,1645632777,47.74304,8.99901
207,1645632782,47.74304,8.99901
208,1645632787,47.74304,8.99902
209,1645632792,47.74303,8.99902
210,1645632797,47.74303,8.99903
211,1645632802,47.74304,8.99904
212,1645632807,47.74304,8.99905
213,1645632812,47.74304,8.99905
214,1645632817,47.74304,8.99906
215,1645632822,47.74304,8.99906
216,1645632827,47.74304,8.99906
217,1645632832,47.74305,8.99905
218,1645632837,47.74305,8.99905
219,1645632842,47.74305,8.99905
220,1645632847,47.74305,8.99905
221,1645632852,47.74305,8.99905
222,1645632857,47.74305,8.99905
223,1645632862,47.74305,8.99905
224,1645632867,47.74305,8.99905
225,1645632872,47.74303,8.99905
226,1645632877,47.74303,8.99905
227,1645632882,47.74302,8.99905
228,1645632887,47.74301,8.99905
229,1645632892,47.74301,8.99904
230,1645632897,47.74301,8.99903
231,1645632902,47.74302,8.99902
232,1645632907,47.74302,8.99902
233,1645632912,47.74302,8.99902
234,1645632917,47.74302,8.99902
235,1645632922,47.74302,8.99902
236,1645632927,47.74301,8.99902
237,1645632932,47.74301,8.99902
238,1645632937,47.74301,8.99902
239,1645632942,47.74302,8.99902
240,1645632947,47.74302,8.99902
241,1645632952,47.74302,8.99902
242,1645632957,47.74302,8.99902
243,1645632962,47.74302,8.99902
244,1645632967,47.74302,8.99902
245,1645632972,47.74302,8.99902
246,1645632977,47.74301,8.99901
247,1645632982,47.74301,8.99901
248,1645632987,47.74301,8.99901
249,1645632992,47.74301,8.99902
250,1645632997,47.74301,8.99902
251,1645633002,47.74301,8.99901
252,1645633007,47.74301,8.99901
253,1645633012,47.74301,8.99900
254,1645633017,47.74300,8.99899
255,1645633022,47.74301,8.99898
256,1645633027,47.74301,8.99898
257,1645633032,47.74301,8.99898
258,1645633037,47.74301,8.99898
259,1645633042,47.74301,8.99898
260,1645633047,47.74301,8.99898
261,1645633052,47.74300,8.99898
262,1645633057,47.74300,8.99898
263,1645633062,47.74300,8.99898
264,1645633067,47.74300,8.99898
265,1645633072,47.74300,8.99898
266,1645633077,47.74300,8.99898
267,1645633082,47.74300,8.99898
268,1645633087,47.74300,8.99897
269,1645633092,47.74300,8.99896
270,1645633097,47.74300,8.99896
271,1645633102,47.74301,8.99895
272,1645633107,47.74301,8.99895
273,1645633112,47.74300,8.99895
274,1645633117,47.74300,8.99895
275,1645633122,47.74300,8.99896
276,1645633127,47.74300,8.99896
277,1645633132,47.74299,8.99897
278,1645633137,47.74299,8.99897
279,1645633142,47.74299,8.99896
280,1645633147,47.74299,8.99897
281,1645633152,47.74299,8.99897
282,1645633157,47.74299,8.99897
283,1645633162,47.74299,8.99897
284,1645633167,47.74299,8.99897
285,1645633172,47.74299,8.99897
286,1645633177,47.74300,8.99897
287,1645633182,47.74300,8.99898
288,1645633187,47.74300,8.99897
289,1645633192,47.74300,8.99897
290,1645633197,47.74300,8.99897
291,1645633202,47.74300,8.99897
292,1645633207,47.74300,8.99897
293,1645633212,47.74300,8.99897
