---TICK-TAG---
***START MEMORY***
UVs: 181, TOs: 0/0, ErrorsOrGF: 2, TTFF: 88
Fixes: 153, Avg. time to fix: 10 s, Avg. HDOP (x10): 15

count,timestamp,lat,lon
1,1646302790,47.74299,8.99894
2,1646303092,47.74292,8.99890
3,1646303395,47.74292,8.99896
4,1646303702,47.74304,8.99896
5,1646304009,47.74297,8.99907
6,1646304314,47.74289,8.99911
7,1646304642,47.74316,8.99892
8,1646304944,47.74301,8.99886
9,1646305250,47.74301,8.99939
10,1646305563,47.74309,8.99885
11,1646305906,47.74309,8.99900
12,1646306261,47.74252,8.99847
13,1646306591,47.74310,8.99889
14,1646306905,47.74312,8.99903
15,1646307240,47.74318,8.99904
16,1646307549,47.74309,8.99915
17,1646307855,47.74308,8.99909
18,1646308157,47.74305,8.99898
19,1646308465,47.74310,8.99906
20,1646308786,47.74328,8.99914
21,1646309095,47.74305,8.99909
22,1646309407,47.74307,8.99903
23,1646309719,47.74308,8.99908
24,1646310031,47.74309,8.99900
25,1646310360,47.74310,8.99903
26,1646310661,47.74305,8.99907
27,1646310964,47.74316,8.99919
28,1646311267,47.74279,8.99887
29,1646311569,47.74293,8.99887
30,1646311871,47.74315,8.99893
31,1646312172,47.74308,8.99898
32,1646312485,47.74299,8.99906
33,1646312786,47.74286,8.99901
34,1646313090,47.74304,8.99910
35,1646313398,47.74307,8.99898
36,1646313710,47.74282,8.99917
37,1646314023,47.74313,8.99859
38,1646314340,47.74305,8.99881
39,1646314651,47.74295,8.99894
40,1646314963,47.74296,8.99903
41,1646315276,47.74300,8.99906
42,1646315591,47.74323,8.99867
43,1646315900,47.74298,8.99898
44,1646316212,47.74317,8.99896
45,1646316540,47.74297,8.99886
46,1646316857,47.74308,8.99886
47,1646317165,47.74332,8.99881
48,1646317496,47.74300,8.99892
49,1646317820,47.74293,8.99889
50,1646318129,47.74292,8.99886
51,1646318443,47.74304,8.99890
52,1646318753,47.74305,8.99896
53,1646319057,47.74298,8.99893
54,1646319368,47.74300,8.99894
