---TICK-TAG---
*START MEMORY*
UVs: 222, TOs: 0/0, ErrorsOrGF: 0, TTFF: 108
Fixes: 176, Avg. TTF: 12 s, Avg. HDOP (x10): 18

count,timestamp,lat,lon
- Burst duration: 0 s
- No time

0 Read memory
1 Reset memory
2 Set min. voltage
3 Set frequency
4 Set accuracy
5 Set activation delay
6 Set times
7 Toggle geofencing ON/OFF
8 Set burst duration
9 Exit
