count,timestamp,lat,lon
1,1647081692,47.74287,8.99918
2,1647081999,47.74304,8.99948
3,1647082317,47.74270,8.99850
4,1647082645,47.74324,8.99917
5,1647082963,47.74305,8.99919
6,1647083274,47.74289,8.99870
7,1647083593,47.74317,8.99911
8,1647083912,47.74315,8.99896
9,1647084231,47.74303,8.99894
10,1647084544,47.74292,8.99875
11,1647084862,47.74313,8.99913
12,1647085177,47.74318,8.99907
13,1647085491,47.74314,8.99884
14,1647085817,47.74309,8.99902
15,1647086128,47.74307,8.99887
16,1647086460,47.74302,8.99913
17,1647086770,47.74322,8.99899
18,1647087091,47.74288,8.99908
19,1647087401,47.74309,8.99928
20,1647087725,47.74398,8.99805
21,1647088071,47.74300,8.99904
22,1647088428,47.74287,8.99908
23,1647088772,47.74301,8.99898
24,1647089099,47.74300,8.99895
25,1647089409,47.74304,8.99902
26,1647089718,47.74297,8.99912
27,1647090027,47.74297,8.99900
28,1647090337,47.74308,8.99898
29,1647090646,47.74306,8.99906
30,1647090954,47.74319,8.99892
31,1647091264,47.74294,8.99908
32,1647091574,47.74304,8.99892
33,1647091889,47.74305,8.99892
34,1647092202,47.74318,8.99896
35,1647092520,47.74312,8.99898
36,1647092846,47.74335,8.99897
37,1647093176,47.74304,8.99893
38,1647093488,47.74313,8.99894
39,1647093825,47.74307,8.99891
40,1647094135,47.74351,8.99809
41,1647094445,47.74342,8.99811
42,1647094762,47.74365,8.99818
43,1647095092,47.74314,8.99887
44,1647095430,47.74302,8.99898
45,1647095740,47.74295,8.99892
46,1647096049,47.74295,8.99901
47,1647096368,47.74296,8.99897
48,1647096686,47.74301,8.99907
49,1647097004,47.74301,8.99890
50,1647097321,47.74306,8.99905
51,1647097644,47.74301,8.99894
52,1647097963,47.74301,8.99902
53,1647098282,47.74289,8.99899
54,1647098600,47.74296,8.99901
55,1647098919,47.74303,8.99909
56,1647099255,47.74305,8.99905
57,1647099577,47.74302,8.99897
58,1647099896,47.74292,8.99909
59,1647100222,47.74266,8.99928
60,1647100561,47.74294,8.99897
61,1647100879,47.74304,8.99901
62,1647101197,47.74294,8.99902
63,1647101516,47.74304,8.99891
64,1647101833,47.74308,8.99896
65,1647102144,47.74356,8.99841
66,1647102463,47.74314,8.99890
67,1647102781,47.74311,8.99891
68,1647103100,47.74311,8.99893
69,1647103421,47.74305,8.99890
70,1647103745,47.74309,8.99914
71,1647104088,47.74313,8.99880
72,1647104400,47.74300,8.99897
73,1647104717,47.74321,8.99858
74,1647105030,47.74301,8.99898
75,1647105343,47.74303,8.99910
76,1647105654,47.74305,8.99894
77,1647105966,47.74320,8.99891
78,1647106278,47.74307,8.99893
79,1647106591,47.74332,8.99864
80,1647106909,47.74297,8.99903
81,1647107227,47.74312,8.99895
82,1647107541,47.74296,8.99895
83,1647107861,47.74308,8.99889
84,1647108188,47.74300,8.99892
85,1647108521,47.74314,8.99880
86,1647108865,47.74304,8.99896
87,1647109179,47.74303,8.99885
88,1647109492,47.74293,8.99906
89,1647109808,47.74296,8.99921
90,1647110129,47.74299,8.99910
91,1647110449,47.74306,8.99885
92,1647110773,47.74316,8.99882
93,1647111098,47.74309,8.99892
94,1647111434,47.74314,8.99875
95,1647111757,47.74311,8.99872
96,1647112086,47.74312,8.99871
97,1647112407,47.74328,8.99861
98,1647112740,47.74302,8.99896
99,1647113055,47.74315,8.99903
100,1647113377,47.74294,8.99889
