---TICK-TAG---
***START MEMORY***
UVs: 0, TOs: 0/1, ErrorsOrGF: 0, TTFF: 79
Fixes: 283, Avg. time to fix: 12 s, Avg. HDOP (x10): 16

count,timestamp,lat,lon
1,1646204183,47.74303,8.99891
2,1646204488,47.74327,8.99868
3,1646204797,47.74311,8.99894
4,1646205109,47.74288,8.99888
5,1646205419,47.74297,8.99893
6,1646205728,47.74311,8.99886
7,1646206038,47.74321,8.99894
8,1646206348,47.74319,8.99883
9,1646206660,47.74325,8.99877
10,1646206972,47.74290,8.99899
11,1646207289,47.74307,8.99893
12,1646207606,47.74299,8.99893
13,1646207923,47.74300,8.99894
14,1646208241,47.74294,8.99903
15,1646208549,47.74253,8.99939
16,1646208859,47.74316,8.99865
17,1646209167,47.74321,8.99871
18,1646209475,47.74305,8.99888
19,1646209789,47.74304,8.99891
20,1646210099,47.74319,8.99895
21,1646210407,47.74311,8.99880
22,1646210738,47.74298,8.99888
23,1646211090,47.74298,8.99895
24,1646211404,47.74301,8.99893
25,1646211716,47.74293,8.99891
26,1646212033,47.74300,8.99897
27,1646212351,47.74300,8.99901
28,1646212673,47.74301,8.99892
29,1646212987,47.74309,8.99908
30,1646213306,47.74304,8.99900
31,1646213618,47.74295,8.99887
32,1646213935,47.74308,8.99913
33,1646214248,47.74297,8.99885
34,1646214559,47.74301,8.99904
35,1646214874,47.74298,8.99886
36,1646215190,47.74298,8.99892
37,1646215508,47.74302,8.99902
38,1646215849,47.74299,8.99897
39,1646216161,47.74303,8.99901
40,1646216473,47.74303,8.99900
41,1646216786,47.74302,8.99898
42,1646217097,47.74301,8.99898
43,1646217409,47.74302,8.99895
44,1646217721,47.74298,8.99898
45,1646218034,47.74293,8.99902
46,1646218358,47.74327,8.99884
47,1646218662,47.74334,8.99890
48,1646218970,47.74294,8.99914
49,1646219281,47.74304,8.99891
50,1646219599,47.74308,8.99896
51,1646219929,47.74300,8.99888
52,1646220278,47.74325,8.99892
53,1646220600,47.74288,8.99873
54,1646220917,47.74329,8.99919
55,1646221232,47.74310,8.99895
56,1646221543,47.74310,8.99898
57,1646221855,47.74310,8.99904
58,1646222167,47.74296,8.99891
59,1646222481,47.74313,8.99907
60,1646222820,47.74306,8.99899
61,1646223124,47.74308,8.99901
62,1646223428,47.74311,8.99909
63,1646223731,47.74278,8.99896
64,1646224035,47.74317,8.99909
65,1646224340,47.74301,8.99896
66,1646224644,47.74310,8.99919
67,1646224949,47.74304,8.99900
68,1646225252,47.74308,8.99899
69,1646225557,47.74272,8.99932
70,1646225862,47.74280,8.99932
71,1646226175,47.74301,8.99911
72,1646226496,47.74284,8.99917
73,1646226801,47.74282,8.99909
74,1646227107,47.74322,8.99897
75,1646227428,47.74299,8.99901
76,1646227742,47.74298,8.99895
77,1646228049,47.74308,8.99898
78,1646228368,47.74304,8.99892
79,1646228678,47.74293,8.99915
80,1646229001,47.74296,8.99903
81,1646229306,47.74296,8.99903
82,1646229612,47.74302,8.99902
83,1646229918,47.74312,8.99885
84,1646230226,47.74300,8.99909
85,1646230536,47.74307,8.99883
86,1646230843,47.74293,8.99908
87,1646231188,47.74281,8.99883
88,1646231503,47.74308,8.99890
89,1646231819,47.74329,8.99893
90,1646232133,47.74300,8.99890
91,1646232447,47.74306,8.99881
92,1646232761,47.74278,8.99952
93,1646233077,47.74301,8.99895
