---TICK-TAG---
*START MEMORY*
UVs: 0, TOs: 0/0, ErrorsOrGF: 0, TTFF: 0
Fixes: 202, Avg. TTF: 11 s, Avg. HDOP (x10): 16

count,timestamp,lat,lon
1,1646812945,47.74087,8.99795
2,1646813278,47.74323,8.99918
3,1646813609,47.74319,8.99909
4,1646813971,47.74338,8.99926
5,1646814280,47.74302,8.99899
6,1646814588,47.74318,8.99903
7,1646814904,47.74280,8.99879
8,1646815210,47.74305,8.99898
9,1646815518,47.74305,8.99902
10,1646815826,47.74284,8.99889
11,1646816133,47.74356,8.99902
12,1646816440,47.74284,8.99883
13,1646816748,47.74303,8.99914
14,1646817055,47.74309,8.99895
15,1646817362,47.74312,8.99928
16,1646817671,47.74300,8.99902
17,1646817978,47.74304,8.99897
18,1646818284,47.74290,8.99902
19,1646818592,47.74321,8.99902
20,1646818950,47.74298,8.99889
21,1646819257,47.74303,8.99887
22,1646819564,47.74302,8.99911
23,1646819871,47.74277,8.99814
24,1646820177,47.74282,8.99863
25,1646820499,47.74307,8.99892
26,1646820806,47.74287,8.99912
27,1646821116,47.74311,8.99897
28,1646821427,47.74297,8.99901
29,1646821737,47.74311,8.99890
30,1646822061,47.74296,8.99893
31,1646822374,47.74304,8.99898
32,1646822693,47.74290,8.99876
33,1646823005,47.74321,8.99879
34,1646823318,47.74297,8.99879
35,1646823640,47.74322,8.99903
36,1646823955,47.74312,8.99906
37,1646824268,47.74303,8.99888
38,1646824579,47.74313,8.99899
39,1646824891,47.74311,8.99903
40,1646825203,47.74309,8.99903
41,1646825515,47.74317,8.99905
42,1646825851,47.74307,8.99901
43,1646826154,47.74322,8.99910
44,1646826458,47.74335,8.99913
45,1646826761,47.74312,8.99899
46,1646827067,47.74306,8.99903
47,1646827373,47.74296,8.99895
48,1646827676,47.74299,8.99884
49,1646827979,47.74294,8.99910
50,1646828282,47.74237,8.99911
51,1646828586,47.74295,8.99906
52,1646828891,47.74249,8.99965
53,1646829197,47.74240,8.99983
54,1646829514,47.74294,8.99904
55,1646829826,47.74298,8.99907
56,1646830132,47.74302,8.99907
57,1646830458,47.74290,8.99908
58,1646830766,47.74271,8.99923
59,1646831076,47.74297,8.99901
60,1646831393,47.74307,8.99898
61,1646831709,47.74280,8.99923
62,1646832026,47.74290,8.99914
63,1646832331,47.74281,8.99910
64,1646832641,47.74293,8.99909
65,1646832963,47.74293,8.99890
66,1646833305,47.74342,8.99873
67,1646833643,47.74278,8.99893
68,1646833980,47.74317,8.99891
69,1646834305,47.74305,8.99884
70,1646834619,47.74335,8.99894
71,1646834935,47.74314,8.99896
72,1646835248,47.74314,8.99884
73,1646835559,47.74322,8.99888
74,1646835872,47.74305,8.99888
75,1646836184,47.74308,8.99891
76,1646836524,47.74294,8.99892
77,1646836837,47.74298,8.99893
78,1646837141,47.74338,8.99883
79,1646837451,47.74298,8.99895
80,1646837761,47.74325,8.99879
81,1646838066,47.74304,8.99886
82,1646838373,47.74331,8.99875
83,1646838686,47.74311,8.99884
84,1646838997,47.74326,8.99874
85,1646839306,47.74318,8.99874
86,1646839613,47.74312,8.99875
87,1646839920,47.74327,8.99871
88,1646840228,47.74322,8.99878
89,1646840538,47.74310,8.99886
90,1646840845,47.74308,8.99897
91,1646841164,47.74317,8.99884
92,1646841481,47.74305,8.99896
93,1646841799,47.74304,8.99903
94,1646842117,47.74304,8.99895
95,1646842435,47.74312,8.99901
96,1646842753,47.74325,8.99878
97,1646843065,47.74312,8.99902
98,1646843379,47.74311,8.99892
99,1646843691,47.74311,8.99911
100,1646844007,47.74320,8.99876
101,1646844325,47.74310,8.99900
102,1646844656,47.74314,8.99902
103,1646844990,47.74301,8.99898
104,1646845300,47.74306,8.99897
105,1646845608,47.74306,8.99900
106,1646845918,47.74301,8.99908
107,1646846225,47.74303,8.99900
108,1646846533,47.74311,8.99887
109,1646846845,47.74308,8.99897
110,1646847156,47.74304,8.99898
111,1646847467,47.74311,8.99898
112,1646847777,47.74306,8.99904
113,1646848088,47.74312,8.99895
114,1646848398,47.74317,8.99905
115,1646848710,47.74306,8.99904
116,1646849023,47.74316,8.99893
117,1646849335,47.74310,8.99892
118,1646849651,47.74321,8.99888
119,1646849967,47.74305,8.99891
120,1646850279,47.74296,8.99905
121,1646850591,47.74303,8.99901
122,1646850903,47.74306,8.99896
123,1646851215,47.74309,8.99891
124,1646851525,47.74307,8.99894
125,1646851841,47.74310,8.99885
126,1646852154,47.74306,8.99888
127,1646852466,47.74310,8.99892
128,1646852785,47.74297,8.99900
129,1646853104,47.74295,8.99897
130,1646853421,47.74293,8.99900
131,1646853741,47.74277,8.99896
132,1646854052,47.74299,8.99900
133,1646854369,47.74293,8.99910
134,1646854687,47.74302,8.99902
135,1646855006,47.74306,8.99900
136,1646855323,47.74315,8.99902
137,1646855641,47.74299,8.99890
138,1646855957,47.74279,8.99928
139,1646856269,47.74304,8.99909
140,1646856600,47.74310,8.99899
141,1646856912,47.74314,8.99904
142,1646857224,47.74300,8.99872
143,1646857540,47.74302,8.99896
144,1646857856,47.74313,8.99891
145,1646858170,47.74299,8.99889
146,1646858487,47.74310,8.99878
147,1646858804,47.74308,8.99858
148,1646859119,47.74313,8.99878
149,1646859443,47.74311,8.99878
150,1646859751,47.74286,8.99917
151,1646860061,47.74309,8.99860
152,1646860381,47.74289,8.99892
153,1646860696,47.74299,8.99894
154,1646861018,47.74299,8.99910
155,1646861337,47.74307,8.99897
156,1646861651,47.74286,8.99916
157,1646861962,47.74319,8.99851
158,1646862287,47.74297,8.99893
159,1646862598,47.74311,8.99906
160,1646862910,47.74285,8.99941
161,1646863234,47.74303,8.99919
162,1646863566,47.74296,8.99887
163,1646863885,47.74314,8.99899
164,1646864213,47.74327,8.99919
165,1646864552,47.74300,8.99904
166,1646864902,47.74302,8.99897
167,1646865211,47.74306,8.99897
168,1646865522,47.74291,8.99905
169,1646865831,47.74300,8.99984
170,1646866140,47.74317,8.99883
171,1646866474,47.74316,8.99917
172,1646866784,47.74605,8.99483
173,1646867099,47.74290,8.99891
174,1646867415,47.74316,8.99836
175,1646867730,47.74227,8.99909
176,1646868047,47.74288,8.99862
177,1646868366,47.74251,8.99906
178,1646868685,47.74298,8.99888
179,1646869003,47.74225,8.99830
180,1646869321,47.74302,8.99869
181,1646869638,47.74374,8.99885
182,1646869957,47.74260,8.99887
183,1646870276,47.74272,8.99892
184,1646870594,47.74242,8.99868
185,1646870911,47.74254,8.99873
186,1646871230,47.74270,8.99892
187,1646871548,47.74194,8.99837
188,1646871866,47.74253,8.99883
189,1646872185,47.74227,8.99866
190,1646872502,47.74267,8.99910
191,1646872821,47.74163,8.99919
192,1646873154,47.74119,8.99834
193,1646873490,47.74306,8.99902
194,1646873802,47.74302,8.99889
195,1646874112,47.74303,8.99887
196,1646874425,47.74304,8.99884
197,1646874736,47.74300,8.99886
198,1646875047,47.74301,8.99889
199,1646875358,47.74298,8.99907
200,1646876190,47.74294,8.99874
201,1646876499,47.74309,8.99900
202,1646877195,47.74244,8.99843
*END MEMORY*
V201, ID: 30-1830, 3320mV, 01b
SETTINGS:
- Min voltage: 3300 mV
- Frequency: 300 s
- Min HDOP (x10): 30
- Activation delay: 60 s
- Geofencing: 0
- Burst duration: 0 s
- No time

0 Read memory
1 Reset memory
2 Set min. voltage
3 Set frequency
4 Set accuracy
5 Set activation delay
6 Set times
7 Toggle geofencing ON/OFF
8 Set burst duration
9 Exit
