---TICK-TAG---
*START MEMORY*
UVs: 11, TOs: 0/0, ErrorsOrGF: 0, TTFF: 55
Fixes: 13105, Avg. TTF: 0 s, Avg. HDOP (x10): 9

count,timestamp,lat,lon
1,1646383774,47.74354,8.99901
2,1646383776,47.74356,8.99899
3,1646383777,47.74356,8.99899
4,1646383779,47.74359,8.99900
5,1646383780,47.74361,8.99900
6,1646383786,47.74367,8.99897
7,1646383787,47.74368,8.99896
8,1646383788,47.74370,8.99895
9,1646383789,47.74371,8.99894
10,1646383790,47.74372,8.99893
11,1646383791,47.74374,8.99891
12,1646383792,47.74375,8.99890
13,1646383793,47.74377,8.99889
14,1646383794,47.74379,8.99888
15,1646383795,47.74380,8.99888
16,1646383796,47.74382,8.99887
17,1646383797,47.74383,8.99885
18,1646383798,47.74385,8.99884
19,1646383799,47.74386,8.99883
20,1646383800,47.74388,8.99883
21,1646383801,47.74388,8.99881
22,1646383802,47.74389,8.99880
23,1646383803,47.74391,8.99879
24,1646383804,47.74392,8.99878
25,1646383805,47.74393,8.99877
26,1646383806,47.74394,8.99876
27,1646383807,47.74394,8.99875
28,1646383808,47.74396,8.99875
29,1646383809,47.74397,8.99874
30,1646383810,47.74399,8.99874
31,1646383811,47.74400,8.99873
32,1646383812,47.74402,8.99872
33,1646383813,47.74403,8.99871
34,1646383814,47.74405,8.99870
35,1646383815,47.74406,8.99869
36,1646383816,47.74407,8.99868
37,1646383817,47.74409,8.99867
38,1646383818,47.74410,8.99865
39,1646383819,47.74410,8.99863
40,1646383820,47.74411,8.99862
41,1646383821,47.74412,8.99860
42,1646383822,47.74413,8.99859
43,1646383823,47.74414,8.99857
44,1646383824,47.74415,8.99856
45,1646383825,47.74416,8.99854
46,1646383826,47.74416,8.99853
47,1646383827,47.74417,8.99852
48,1646383828,47.74418,8.99851
49,1646383829,47.74419,8.99849
50,1646383830,47.74420,8.99848
51,1646383831,47.74421,8.99846
52,1646383832,47.74422,8.99845
53,1646383833,47.74423,8.99843
54,1646383834,47.74424,8.99841
55,1646383835,47.74424,8.99840
56,1646383836,47.74425,8.99838
57,1646383837,47.74426,8.99837
58,1646383838,47.74427,8.99835
59,1646383839,47.74427,8.99834
60,1646383840,47.74428,8.99832
61,1646383841,47.74429,8.99830
62,1646383842,47.74430,8.99829
63,1646383843,47.74430,8.99827
64,1646383844,47.74431,8.99825
65,1646383845,47.74431,8.99824
66,1646383846,47.74432,8.99822
67,1646383847,47.74433,8.99820
68,1646383848,47.74434,8.99818
69,1646383849,47.74434,8.99817
70,1646383850,47.74435,8.99815
71,1646383851,47.74435,8.99813
72,1646383852,47.74436,8.99811
73,1646383853,47.74436,8.99810
74,1646383854,47.74437,8.99808
75,1646383855,47.74438,8.99806
76,1646383856,47.74439,8.99805
77,1646383857,47.74439,8.99803
78,1646383858,47.74440,8.99802
79,1646383859,47.74441,8.99800
80,1646383860,47.74442,8.99798
81,1646383861,47.74443,8.99797
82,1646383862,47.74444,8.99795
83,1646383863,47.74444,8.99793
84,1646383864,47.74445,8.99791
85,1646383865,47.74446,8.99790
86,1646383866,47.74447,8.99788
