---TICK-TAG---
*START MEMORY*
UVs: 120, TOs: 0/0, ErrorsOrGF: 0, TTFF: 81
Fixes: 5331, Avg. TTF: 10 s, Avg. HDOP (x10): 15

count,timestamp,lat,lon
1,1646291419,47.74306,8.99897
2,1646291420,47.74306,8.99897
3,1646291421,47.74306,8.99897
4,1646291422,47.74306,8.99897
5,1646291423,47.74306,8.99897
6,1646291424,47.74306,8.99897
7,1646291425,47.74306,8.99897
8,1646291426,47.74306,8.99897
9,1646291427,47.74306,8.99897
10,1646291428,47.74306,8.99897
11,1646291461,47.74307,8.99902
12,1646291462,47.74308,8.99901
13,1646291463,47.74309,8.99901
14,1646291464,47.74310,8.99902
15,1646291465,47.74310,8.99901
16,1646291466,47.74310,8.99901
17,1646291467,47.74310,8.99901
18,1646291468,47.74311,8.99901
19,1646291469,47.74311,8.99901
20,1646291470,47.74311,8.99900
21,1646291504,47.74311,8.99890
22,1646291505,47.74311,8.99893
23,1646291506,47.74311,8.99895
24,1646291507,47.74311,8.99895
25,1646291508,47.74311,8.99896
26,1646291509,47.74310,8.99896
27,1646291510,47.74310,8.99897
28,1646291511,47.74310,8.99898
29,1646291512,47.74310,8.99899
30,1646291513,47.74310,8.99899
31,1646291547,47.74260,8.99908
32,1646291548,47.74299,8.99897
33,1646291549,47.74300,8.99896
34,1646291550,47.74300,8.99895
35,1646291551,47.74300,8.99893
36,1646291552,47.74300,8.99892
37,1646291553,47.74301,8.99893
38,1646291554,47.74302,8.99893
39,1646291555,47.74303,8.99894
40,1646291556,47.74303,8.99894
41,1646291591,47.74307,8.99906
42,1646291592,47.74307,8.99904
43,1646291593,47.74307,8.99902
44,1646291594,47.74307,8.99901
45,1646291595,47.74307,8.99900
46,1646291596,47.74307,8.99899
47,1646291597,47.74307,8.99899
48,1646291598,47.74307,8.99899
49,1646291599,47.74307,8.99899
50,1646291600,47.74301,8.99899
51,1646291635,47.74304,8.99899
52,1646291636,47.74304,8.99898
53,1646291637,47.74305,8.99898
54,1646291638,47.74305,8.99898
55,1646291639,47.74304,8.99898
56,1646291640,47.74304,8.99897
57,1646291641,47.74301,8.99897
58,1646291643,47.74301,8.99897
59,1646291644,47.74302,8.99897
60,1646291645,47.74302,8.99896
61,1646291679,47.74310,8.99885
62,1646291680,47.74308,8.99887
63,1646291681,47.74307,8.99888
64,1646291682,47.74307,8.99889
65,1646291683,47.74306,8.99890
66,1646291684,47.74305,8.99890
67,1646291685,47.74305,8.99891
68,1646291686,47.74305,8.99891
69,1646291687,47.74304,8.99891
70,1646291688,47.74304,8.99891
71,1646291723,47.74313,8.99903
72,1646291724,47.74311,8.99902
73,1646291725,47.74310,8.99902
74,1646291726,47.74309,8.99899
75,1646291727,47.74309,8.99899
76,1646291728,47.74309,8.99898
77,1646291729,47.74309,8.99899
78,1646291730,47.74308,8.99898
79,1646291731,47.74309,8.99898
80,1646291733,47.74309,8.99898
81,1646291768,47.74293,8.99880
82,1646291769,47.74295,8.99882
83,1646291770,47.74297,8.99885
84,1646291771,47.74300,8.99888
85,1646291772,47.74300,8.99890
86,1646291773,47.74300,8.99891
87,1646291774,47.74300,8.99891
88,1646291775,47.74300,8.99892
89,1646291776,47.74300,8.99892
90,1646291777,47.74300,8.99892
91,1646291811,47.74301,8.99885
92,1646291812,47.74304,8.99891
93,1646291813,47.74305,8.99892
94,1646291814,47.74305,8.99893
95,1646291815,47.74305,8.99894
96,1646291816,47.74305,8.99895
97,1646291817,47.74305,8.99895
98,1646291818,47.74304,8.99896
99,1646291819,47.74304,8.99896
100,1646291820,47.74304,8.99896
101,1646291855,47.74307,8.99885
102,1646291856,47.74305,8.99890
103,1646291857,47.74304,8.99892
104,1646291858,47.74303,8.99894
105,1646291859,47.74304,8.99894
106,1646291860,47.74304,8.99895
107,1646291861,47.74304,8.99894
108,1646291862,47.74303,8.99895
109,1646291863,47.74303,8.99895
110,1646291864,47.74302,8.99894
111,1646291898,47.74300,8.99887
112,1646291899,47.74299,8.99887
113,1646291900,47.74299,8.99888
114,1646291901,47.74299,8.99889
115,1646291902,47.74299,8.99890
116,1646291903,47.74299,8.99891
117,1646291904,47.74299,8.99892
118,1646291905,47.74296,8.99893
119,1646291907,47.74296,8.99893
120,1646291908,47.74296,8.99893
121,1646291942,47.74274,8.99910
122,1646291943,47.74303,8.99908
123,1646291944,47.74304,8.99904
124,1646291945,47.74305,8.99903
125,1646291946,47.74304,8.99902
126,1646291947,47.74304,8.99901
127,1646291948,47.74304,8.99900
128,1646291949,47.74304,8.99900
129,1646291950,47.74303,8.99899
130,1646291951,47.74304,8.99899
131,1646291985,47.74290,8.99916
132,1646291986,47.74307,8.99902
133,1646291987,47.74309,8.99902
134,1646291988,47.74309,8.99902
135,1646291989,47.74309,8.99903
136,1646291990,47.74309,8.99903
137,1646291991,47.74309,8.99904
138,1646291992,47.74309,8.99903
139,1646291993,47.74309,8.99904
140,1646291994,47.74308,8.99904
141,1646292029,47.74309,8.99891
142,1646292030,47.74308,8.99897
143,1646292031,47.74307,8.99899
144,1646292032,47.74306,8.99899
145,1646292033,47.74307,8.99899
146,1646292034,47.74306,8.99900
147,1646292035,47.74306,8.99899
148,1646292036,47.74306,8.99899
149,1646292037,47.74304,8.99899
150,1646292039,47.74305,8.99899
151,1646292074,47.74312,8.99893
152,1646292075,47.74312,8.99893
153,1646292076,47.74311,8.99895
154,1646292077,47.74311,8.99895
155,1646292078,47.74310,8.99895
156,1646292079,47.74309,8.99896
157,1646292080,47.74309,8.99896
158,1646292081,47.74308,8.99897
159,1646292082,47.74308,8.99898
160,1646292083,47.74308,8.99899
161,1646292118,47.74302,8.99903
162,1646292119,47.74302,8.99901
163,1646292120,47.74302,8.99900
164,1646292121,47.74303,8.99900
165,1646292122,47.74305,8.99900
166,1646292123,47.74305,8.99900
167,1646292124,47.74305,8.99900
168,1646292125,47.74305,8.99900
169,1646292126,47.74305,8.99900
170,1646292127,47.74307,8.99899
171,1646292163,47.74314,8.99902
172,1646292164,47.74315,8.99900
173,1646292165,47.74315,8.99899
174,1646292166,47.74315,8.99898
175,1646292167,47.74315,8.99897
176,1646292168,47.74315,8.99897
177,1646292169,47.74315,8.99897
178,1646292171,47.74315,8.99897
179,1646292172,47.74315,8.99897
180,1646292173,47.74314,8.99897
181,1646292207,47.74293,8.99907
182,1646292208,47.74306,8.99904
183,1646292209,47.74307,8.99904
184,1646292210,47.74307,8.99903
185,1646292211,47.74307,8.99901
186,1646292212,47.74308,8.99901
187,1646292213,47.74309,8.99901
188,1646292214,47.74309,8.99901
189,1646292215,47.74308,8.99901
190,1646292216,47.74308,8.99901
191,1646292250,47.74326,8.99875
192,1646292251,47.74305,8.99895
193,1646292252,47.74303,8.99898
194,1646292253,47.74303,8.99899
195,1646292254,47.74303,8.99898
196,1646292255,47.74303,8.99898
197,1646292256,47.74304,8.99897
198,1646292257,47.74305,8.99896
199,1646292258,47.74305,8.99895
200,1646292259,47.74305,8.99894
201,1646292295,47.74309,8.99908
202,1646292296,47.74309,8.99907
203,1646292297,47.74309,8.99907
204,1646292298,47.74309,8.99907
205,1646292299,47.74310,8.99909
206,1646292300,47.74310,8.99910
207,1646292301,47.74304,8.99911
208,1646292303,47.74305,8.99912
209,1646292304,47.74305,8.99912
210,1646292305,47.74305,8.99913
211,1646292340,47.74262,8.99879
212,1646292341,47.74284,8.99891
213,1646292342,47.74293,8.99895
214,1646292343,47.74294,8.99894
215,1646292344,47.74294,8.99895
216,1646292345,47.74294,8.99894
217,1646292346,47.74293,8.99895
218,1646292347,47.74292,8.99894
219,1646292348,47.74292,8.99895
220,1646292349,47.74294,8.99895
