count,timestamp,lat,lon
1,1625520658,48.98375,8.31974
2,1625520729,48.98001,8.32018
3,1625520794,48.97849,8.31855
4,1625520861,48.97856,8.31919
5,1625520925,48.97899,8.31928
6,1625520988,48.97826,8.31872
7,1625521051,48.97657,8.32049
8,1625521116,48.97425,8.32531
9,1625521179,48.97129,8.32948
10,1625521250,48.96752,8.33301
11,1625521317,48.96560,8.33549
12,1625521415,48.96627,8.33523
13,1625522695,48.97830,8.31876
14,1625522777,48.98024,8.31932
15,1625522880,48.98712,8.31912
16,1625523114,48.99005,8.31809
17,1625523256,48.99021,8.31796
18,1625523373,48.99143,8.31687
19,1625523478,48.99022,8.31761
20,1625523601,48.99097,8.31786
21,1625523698,48.99099,8.31770
22,1625523782,48.98968,8.31821
23,1625523872,48.99009,8.31804
24,1625523950,48.98935,8.31936
25,1625524020,48.98517,8.32026
26,1625524085,48.98150,8.31978
27,1625524157,48.97813,8.31869
28,1625524225,48.97816,8.31868
29,1625524315,48.97838,8.31853
30,1625524380,48.97873,8.31832
31,1625524444,48.97813,8.31892
32,1625524509,48.97895,8.31838
33,1625524585,48.97890,8.31868
34,1625524669,48.97832,8.31862
35,1625524766,48.97848,8.31828
36,1625524849,48.97838,8.31870
37,1625524933,48.97846,8.31862
38,1625524999,48.97864,8.31799
39,1625525078,48.97818,8.31874
40,1625525161,48.97841,8.31869
41,1625525233,48.97854,8.31891
42,1625525321,48.97869,8.31919
43,1625525402,48.97806,8.31907
44,1625525473,48.97894,8.32071
45,1625525540,48.97818,8.32265
46,1625525612,48.97528,8.32598
47,1625525683,48.97153,8.32902
48,1625525757,48.96792,8.33258
49,1625525821,48.96635,8.33514
50,1625525894,48.96638,8.33468
51,1625527160,48.96889,8.31882
52,1625527232,48.97166,8.31247
53,1625527303,48.97405,8.30581
54,1625527375,48.97668,8.31006
55,1625527448,48.97775,8.31562
56,1625527552,48.97816,8.31888
57,1625527655,48.97858,8.31812
58,1625527854,48.97855,8.31821
59,1625528184,48.97875,8.31783
60,1625528345,48.97838,8.31847
61,1625528476,48.97865,8.31812
62,1625528682,48.97840,8.31846
63,1625532539,48.97132,8.32969
64,1625532665,48.97842,8.32424
65,1625532755,48.98280,8.32075
66,1625533076,48.98836,8.31843
67,1625533152,48.98799,8.31617
68,1625533223,48.98830,8.31650
69,1625533299,48.98833,8.31758
70,1625533376,48.98725,8.31812
71,1625533456,48.98840,8.31698
72,1625533560,48.98877,8.31486
73,1625533667,48.98601,8.31720
74,1625533733,48.98541,8.31791
75,1625533801,48.98207,8.32077
