count,timestamp,lat,lon
1,1625532033,49.02462,8.26659
2,1625532101,49.02156,8.27117
3,1625532166,49.01885,8.27487
4,1625532230,49.01687,8.27974
5,1625532297,49.01312,8.28592
6,1625532361,49.01001,8.29082
7,1625532425,49.00731,8.29530
8,1625532496,49.00305,8.30198
9,1625532565,48.99972,8.30650
10,1625532628,48.99567,8.31002
11,1625532700,48.99033,8.31516
12,1625532811,48.98770,8.31823
13,1625532970,48.98718,8.31908
14,1625533110,48.98776,8.31896
15,1625533220,48.98807,8.31368
16,1625533329,48.98804,8.31638
17,1625533474,48.98752,8.31382
18,1625533665,48.98589,8.31287
19,1625533829,48.98678,8.31003
20,1625533985,48.98797,8.31446
21,1625534112,48.98923,8.31919
22,1625534369,48.98769,8.31810
23,1625534438,48.98887,8.31952
24,1625534521,48.98928,8.31882
25,1625534711,48.98579,8.31713
26,1625534783,48.98147,8.32016
27,1625534855,48.97719,8.32419
28,1625534926,48.97246,8.32813
29,1625534999,48.96804,8.33097
